season_label,injury,from_date,to_date,days_out,games_missed,player_id,player_slug
25/26,Lesão no dedo,2025-10-16,2026-01-09,86,14,69400,weverton
16/17,Fratura cubital,2016-08-01,2016-11-01,93,20,31315,fernando-prass
18/19,Lesão dos ligamentos laterais do joelho,2019-04-23,2020-12-02,590,81,200455,vagner
20/21,Coronavírus,2020-11-20,2020-12-04,15,4,112940,jailson
21/22,Coronavírus,2022-01-03,2022-01-12,10,2,438682,daniel-fuzato
22/23,Rotura muscular na coxa,2023-04-24,2023-05-29,36,7,598975,matheus-teixeira
24/25,Entorse no joelho,2025-03-12,2025-04-02,22,5,215390,gustavo-gomez
24/25,Lesão na coxa,2025-02-17,2025-03-09,21,3,215390,gustavo-gomez
23/24,Fratura no pé,2024-02-19,2024-03-27,38,5,215390,gustavo-gomez
16/17,Fadiga muscular,2017-03-25,2017-04-02,9,1,215390,gustavo-gomez
25/26,Lesão na coxa,2025-10-14,2025-10-18,5,1,383638,juninho
24/25,Lesão na coxa,2025-04-04,2025-04-18,15,4,383638,juninho
24/25,Problemas no Joelho,2025-02-09,2025-02-25,17,2,346922,thiago-santos
23/24,Lesão na coxa,2024-04-12,2024-05-21,40,10,346922,thiago-santos
09/10,Innenbandanriss Knie,2009-07-06,2009-08-31,57,6,52960,leandro-almeida
25/26,Lesão nos adutores,2025-10-19,2025-11-17,30,4,271335,fabiano
24/25,Traumatismo,2024-11-03,2024-11-29,27,2,271335,fabiano
24/25,Rotura muscular,2024-09-15,2024-09-30,16,3,271335,fabiano
23/24,Lesão desconhecida,2024-01-29,2024-03-01,33,7,271335,fabiano
20/21,Lesão desconhecida,2021-03-06,2021-03-18,13,1,271335,fabiano
25/26,Operado ao joelho,2025-07-24,2025-08-21,29,5.0,277318,thiago-martins
24/25,Lesão na panturrilha,2025-02-20,2025-02-27,8,1.0,277318,thiago-martins
22/23,Lesão no tornozelo,2023-05-29,2023-07-04,37,7.0,277318,thiago-martins
21/22,Hematoma,2021-08-20,2021-08-29,10,3.0,277318,thiago-martins
19/20,Fratura do Metatarso,2020-03-09,2020-06-21,105,,277318,thiago-martins
25/26,Lesão muscular,2025-10-01,2025-10-15,15,2,266809,nicolas-freire
25/26,Ruptura muscular,2025-08-14,2025-09-04,22,3,266809,nicolas-freire
23/24,Rotura parcial de ligamento,2024-05-20,2025-03-30,315,38,266809,nicolas-freire
23/24,Lesão muscular,2024-03-17,2024-04-02,17,2,266809,nicolas-freire
23/24,Lesão muscular,2023-10-03,2023-12-31,90,13,266809,nicolas-freire
24/25,Lesão na coxa,2025-03-30,2025-04-18,20,4,207446,antonio-carlos
23/24,lesão na perna,2023-08-17,2023-10-03,48,8,207446,antonio-carlos
22/23,lesão na perna,2023-02-20,2023-03-09,18,3,207446,antonio-carlos
21/22,Ruptura muscular,2022-04-04,2022-06-20,78,13,207446,antonio-carlos
12/13,Rotura dos ligamentos cruzados,2012-07-20,2013-01-20,185,31,15419,edu-dracena
08/09,Rotura dos ligamentos cruzados,2009-04-06,2009-10-01,179,23,15419,edu-dracena
08/09,Problemas no Joelho,2009-01-27,2009-02-20,25,5,15419,edu-dracena
08/09,Lesão desconhecida,2008-09-10,2008-09-30,21,3,15419,edu-dracena
06/07,Distensão da panturrilha,2007-02-25,2007-03-06,10,2,15419,edu-dracena
25/26,Lesão no joelho,2025-10-23,2025-11-01,10,1,428783,vitao
24/25,Lesão na coxa,2024-07-16,2024-08-03,19,3,428783,vitao
23/24,Lesão na coxa,2023-08-28,2023-09-25,29,4,428783,vitao
22/23,Entorse no joelho,2023-05-15,2023-05-24,10,2,428783,vitao
21/22,Lesão desconhecida,2021-10-02,2021-10-14,13,1,428783,vitao
20/21,Lesão desconhecida,2020-12-09,2021-01-01,24,1,428783,vitao
24/25,Rotura do menisco,2025-04-22,,332,36,585264,pedrao
24/25,Entorse da banda lateral,2025-03-04,2025-03-28,25,2,585264,pedrao
24/25,Lesão dos ligamentos laterais,2024-12-28,2025-02-26,61,11,585264,pedrao
23/24,Lesão desconhecida,2023-08-17,2023-08-31,15,2,585264,pedrao
21/22,Lesão na coxa,2022-03-01,2022-03-15,15,2,585264,pedrao
25/26,Lesão muscular,2025-08-29,2025-09-09,12,1,520626,gabriel-furtado
25/26,Lesão na cabeça,2025-11-20,2025-11-27,8,1,234538,victor-luis
24/25,Problemas musculares,2024-10-14,2024-11-04,22,4,234538,victor-luis
24/25,Entorse do tornozelo,2025-04-27,2025-05-20,24,6,167724,diogo-barbosa
24/25,Lesão muscular,2024-12-02,2025-01-22,52,2,167724,diogo-barbosa
24/25,Artroscopia,2024-08-11,2024-09-17,38,6,167724,diogo-barbosa
24/25,Entorse do tornozelo,2024-08-26,2024-10-18,54,5,432166,luan-candido
22/23,lesão na perna,2023-02-27,2023-06-26,120,22,432166,luan-candido
25/26,Lesão na coxa,2025-10-20,2025-11-18,30,4,75435,marcos-rocha
25/26,Queixas adutores,2025-09-29,2025-10-15,17,2,75435,marcos-rocha
25/26,Problemas musculares,2025-09-12,2025-09-20,9,1,75435,marcos-rocha
24/25,Lesão na panturrilha,2025-04-13,2025-05-06,24,6,75435,marcos-rocha
24/25,Lesão na coxa,2025-03-17,2025-04-11,26,5,75435,marcos-rocha
24/25,Lesão na coxa,2024-09-16,2024-10-04,19,2,75435,marcos-rocha
22/23,Lesão na coxa,2023-04-24,2023-05-19,26,6,75435,marcos-rocha
14/15,Problemas na panturrilha,2015-05-10,2015-07-22,74,19,75435,marcos-rocha
14/15,Pancada na coxa,2015-02-14,2015-03-09,24,5,75435,marcos-rocha
25/26,inflamação no joelho,2025-10-27,2025-11-05,10,1.0,147361,mayke
25/26,Fadiga muscular,2025-10-02,2025-10-14,13,1.0,147361,mayke
24/25,Lesão na coxa,2025-04-04,2025-05-03,30,8.0,147361,mayke
24/25,Lesão na panturrilha,2024-08-25,2024-10-19,56,5.0,147361,mayke
24/25,Lesão na panturrilha,2024-08-08,2024-08-20,13,3.0,147361,mayke
24/25,Problemas musculares,2024-07-22,2024-08-06,16,3.0,147361,mayke
23/24,Lesão na coxa,2024-02-04,2024-03-02,28,6.0,147361,mayke
19/20,Lesão na coxa,2019-08-19,2019-10-26,69,14.0,147361,mayke
13/14,Lesão desconhecida,2013-08-13,2013-08-15,3,,147361,mayke
23/24,Lesão na panturrilha,2024-06-20,2024-08-03,45,11,35537,felipe-melo
20/21,Lesão no tornozelo,2020-11-08,2021-01-17,71,19,35537,felipe-melo
16/17,Traumatismo no joelho,2016-10-07,2016-10-31,25,5,35537,felipe-melo
14/15,Operação,2015-02-23,2015-04-13,50,6,35537,felipe-melo
14/15,Lesão no tornozelo,2015-02-16,2015-02-22,7,1,35537,felipe-melo
14/15,Lesão desconhecida,2014-10-26,2014-11-01,7,1,35537,felipe-melo
12/13,Problemas de Ligamento,2012-10-23,2012-10-30,8,1,35537,felipe-melo
10/11,Lesão desconhecida,2011-03-07,2011-03-25,19,2,35537,felipe-melo
10/11,Problemas musculares na coxa,2010-11-08,2010-11-12,5,1,35537,felipe-melo
09/10,Lesão tornozelo,2010-06-26,2010-07-01,6,1,35537,felipe-melo
24/25,Lesão na coxa,2025-02-12,2025-04-23,71,12,232096,renato-augusto
20/21,danos na cartilagem,2021-04-14,2023-03-19,705,86,232096,renato-augusto
19/20,Recuperação ritmo competitivo,2020-05-18,2020-07-09,53,2,232096,renato-augusto
19/20,Fratura do antebraço,2019-12-01,2020-05-17,169,4,232096,renato-augusto
19/20,Lesão no tornozelo,2019-09-30,2019-11-13,45,5,232096,renato-augusto
18/19,Lesão na coxa,2019-05-04,2019-06-12,40,6,232096,renato-augusto
24/25,Lesão desconhecida,2025-02-05,,408,43,407654,matheus-sales
20/21,Lesão no joelho,2020-12-26,2021-03-28,93,12,407654,matheus-sales
25/26,Problemas musculares na coxa,2025-08-25,2025-09-30,37,6,364261,tche-tche
24/25,Lesão no joelho,2025-02-24,2025-03-29,34,3,364261,tche-tche
25/26,lesão na perna,2025-07-31,2025-08-05,6,1,277335,bruno-henrique
18/19,Lesão muscular,2018-11-29,2018-12-10,12,1,12142,michel-bastos
18/19,Lesão muscular,2018-08-05,2018-08-13,9,2,12142,michel-bastos
13/14,Lesão na mão,2014-01-22,2014-02-02,12,1,12142,michel-bastos
12/13,Lesão na coluna,2012-09-17,2012-11-25,70,13,12142,michel-bastos
11/12,Lesão nas costas,2012-04-18,2012-08-12,117,9,12142,michel-bastos
11/12,Rotura muscular na coxa,2011-10-28,2011-11-07,11,3,12142,michel-bastos
10/11,Operado ao joelho,2011-03-19,2011-04-30,43,5,12142,michel-bastos
25/26,Lesão na coxa,2025-10-02,2025-10-07,6,1.0,232847,lucas-lima
25/26,Entorse do tornozelo,2025-08-26,2025-08-30,5,,232847,lucas-lima
16/17,Lesão na coxa,2017-05-21,2017-06-13,24,5.0,232847,lucas-lima
24/25,Problemas no Joelho,2024-11-17,2024-11-25,9,2,330085,gustavo-scarpa
23/24,Lesão desconhecida,2023-11-24,2024-01-01,39,6,330085,gustavo-scarpa
22/23,Lesão no joelho,2023-04-06,2023-05-08,33,5,330085,gustavo-scarpa
20/21,Coronavírus,2020-11-20,2020-11-28,9,2,330085,gustavo-scarpa
25/26,Lesão na coxa,2025-10-09,2025-10-24,16,2,338861,hyoran
24/25,Problema nos flexores do quadril,2025-05-18,2025-07-19,63,4,338861,hyoran
23/24,Lesão na coxa,2024-04-13,2024-05-28,46,5,338861,hyoran
22/23,Lesão no tornozelo,2023-06-28,2023-07-28,31,4,338861,hyoran
22/23,Problemas musculares na coxa,2022-11-06,2022-11-11,6,1,338861,hyoran
22/23,Doente,2022-10-10,2022-10-19,10,1,338861,hyoran
16/17,Lesão no joelho,2016-11-10,2017-01-10,62,7,338861,hyoran
17/18,Lesão na coxa,2018-02-09,2018-02-27,19,3,323944,vitinho
