season_label,injury,from_date,to_date,days_out,games_missed,player_id,player_slug,to_date_filled,severe_injury
25/26,Lesão no dedo,2025-10-16,2026-01-09,86.0,14.0,69400,weverton,2026-01-09,True
16/17,Fratura cubital,2016-08-01,2016-11-01,93.0,20.0,31315,fernando-prass,2016-11-01,True
18/19,Lesão dos ligamentos laterais do joelho,2019-04-23,2020-12-02,590.0,81.0,200455,vagner,2020-12-02,True
20/21,Coronavírus,2020-11-20,2020-12-04,15.0,4.0,112940,jailson,2020-12-04,False
21/22,Coronavírus,2022-01-03,2022-01-12,10.0,2.0,438682,daniel-fuzato,2022-01-12,False
22/23,Rotura muscular na coxa,2023-04-24,2023-05-29,36.0,7.0,598975,matheus-teixeira,2023-05-29,False
24/25,Entorse no joelho,2025-03-12,2025-04-02,22.0,5.0,215390,gustavo-gomez,2025-04-02,False
24/25,Lesão na coxa,2025-02-17,2025-03-09,21.0,3.0,215390,gustavo-gomez,2025-03-09,False
23/24,Fratura no pé,2024-02-19,2024-03-27,38.0,5.0,215390,gustavo-gomez,2024-03-27,False
16/17,Fadiga muscular,2017-03-25,2017-04-02,9.0,1.0,215390,gustavo-gomez,2017-04-02,False
25/26,Lesão na coxa,2025-10-14,2025-10-18,5.0,1.0,383638,juninho,2025-10-18,False
24/25,Lesão na coxa,2025-04-04,2025-04-18,15.0,4.0,383638,juninho,2025-04-18,False
24/25,Problemas no Joelho,2025-02-09,2025-02-25,17.0,2.0,346922,thiago-santos,2025-02-25,False
23/24,Lesão na coxa,2024-04-12,2024-05-21,40.0,10.0,346922,thiago-santos,2024-05-21,False
09/10,Innenbandanriss Knie,2009-07-06,2009-08-31,57.0,6.0,52960,leandro-almeida,2009-08-31,False
25/26,Lesão nos adutores,2025-10-19,2025-11-17,30.0,4.0,271335,fabiano,2025-11-17,False
24/25,Traumatismo,2024-11-03,2024-11-29,27.0,2.0,271335,fabiano,2024-11-29,False
24/25,Rotura muscular,2024-09-15,2024-09-30,16.0,3.0,271335,fabiano,2024-09-30,False
23/24,Lesão desconhecida,2024-01-29,2024-03-01,33.0,7.0,271335,fabiano,2024-03-01,False
20/21,Lesão desconhecida,2021-03-06,2021-03-18,13.0,1.0,271335,fabiano,2021-03-18,False
25/26,Operado ao joelho,2025-07-24,2025-08-21,29.0,5.0,277318,thiago-martins,2025-08-21,False
24/25,Lesão na panturrilha,2025-02-20,2025-02-27,8.0,1.0,277318,thiago-martins,2025-02-27,False
